id,delinq_2yrs,earliest_cr_line,inq_last_6mths,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,Profit
592029,0,2000-11-01,0,2195,0.191,11,11639.93,11639.93,10000,1639.93,0,0,2013-05-01,1912.44,1639.93
601964,0,1995-11-01,0,40414,0.501,31,11040.41,11010.53,10000,1040.41,0,0,2013-11-01,323.17,1040.41
602522,0,2001-05-01,0,8720,0.793,12,13406.71,13043.36,10000,3406.71,0,0,2015-09-01,180.11,3406.71
606559,0,1999-09-01,0,16629,0.919,17,10477.73,10477.73,10000,477.73,0,0,2011-03-01,9443.64,477.73
606714,0,1994-06-01,0,5770,0.23,22,10858.52,10858.52,10000,858.52,0,0,2013-11-01,323.75,858.52
608417,0,1999-09-01,0,9843,0.656,21,10981.48,10734.47,10000,981.48,0,0,2013-11-01,327.03,981.48
612786,0,1990-12-01,0,8222,0.216,13,10858.54,10716.06,10000,858.54,0,0,2013-12-01,325.41,858.54
617463,0,1993-09-01,0,4279,0.291,15,10796.84,10688.87,10000,796.84,0,0,2012-09-01,4706.42,796.84
621916,0,1975-11-01,0,8121,0.331,15,11040.71,10985.51,10000,1040.71,0,0,2013-12-01,348.52,1040.71
625200,0,1996-06-01,0,26122,0.441,59,11615.2,11034.44,10000,1615.2,0,0,2013-12-01,347.68,1615.2
630863,0,2001-09-01,0,10104,0.546,22,11490.63,10916.1,10000,1490.63,0,0,2014-01-01,370.96,1490.63
632406,0,1986-07-01,0,19782,0.817,11,11429.04,10857.58,10000,1429.04,0,0,2014-01-01,344.6,1429.04
636536,0,1981-03-01,0,63472,0.127,22,11842.1,11842.1,10000,1842.1,0,0,2013-09-01,5452.74,1842.1
637478,0,2003-10-01,0,6650,0.471,27,11101.11,10462.8,10000,1101.11,0,0,2014-01-01,314.34,1101.11
641743,0,1994-12-01,0,595,0.019,14,10910.01,10910.01,10000,910.01,0,0,2013-10-01,1248.59,910.01
652276,0,2002-02-01,0,8350,0.714,9,11662.63,11662.63,10000,1662.63,0,0,2013-07-01,2551.12,1662.63
654619,0,1971-06-01,0,2669,0.05,16,12068.32,12068.32,10000,2068.32,0,0,2016-02-01,200.47,2068.32
656096,0,1996-12-01,0,9274,0.155,19,10858.52,10804.23,10000,858.52,0,0,2014-02-01,325.04,858.52
657427,0,1993-04-01,0,49148,0.955,31,14174.71,14174.71,10000,4174.71,0,0,2015-03-01,2710.44,4174.71
661850,0,1997-05-01,0,2946,0.134,22,10823.77,10823.77,10000,823.77,0,0,2013-03-01,3573.55,823.77
662891,0,2005-03-01,0,8258,0.454,11,11163.96,11159.34,10000,1163.96,0,0,2014-02-01,347.84,1163.96
664050,0,1993-08-01,0,12832,0.373,19,10917.98,10913.48,10000,917.98,0,0,2014-02-01,333.57,917.98
664618,0,1992-06-01,0,6190,0.23,25,10788.14,10788.14,10000,788.14,0,0,2013-01-01,4139.53,788.14
668658,0,1998-08-01,0,10600,0.28,29,12697.72,12697.72,10000,2697.72,0,0,2015-01-01,2862.24,2697.72
670901,0,1985-11-01,0,17222,0.195,34,10858.57,10858.57,10000,858.57,0,0,2014-03-01,329.08,858.57
680393,0,2007-01-01,0,4215,0.611,6,12594.36,12594.36,10000,2594.36,0,0,2014-03-01,380.16,2594.36
683183,0,2005-02-01,0,10533,0.49,8,11102.57,11102.57,10000,1102.57,0,0,2014-03-01,313.57,1102.57
688988,0,2007-10-01,0,0,0,4,11449.67,11449.67,10000,1449.67,0,0,2013-01-01,4616.87,1449.67
697276,0,1987-10-01,0,22532,0.838,37,11676,11676,10000,1676,0,0,2014-02-01,654.07,1676
698849,0,1997-08-01,0,13172,0.324,25,10917.67,10917.67,10000,917.67,0,0,2014-03-01,340,917.67
701560,0,2002-10-01,0,10205,0.593,9,11553.74,11236.01,10000,1553.74,0,0,2014-04-01,343.6,1553.74
701951,0,1987-06-01,0,8288,0.14,29,10432.29,10406.21,10000,432.29,0,0,2012-03-01,7423.87,432.29
714862,0,2003-11-01,0,12612,0.846,12,11026.43,10750.77,10000,1026.43,0,0,2012-07-01,21.5,1026.43
715948,0,2002-06-01,0,43128,0.678,26,12140.22,12140.22,10000,2140.22,0,0,2014-04-01,359.04,2140.22
718730,0,1997-12-01,0,53792,0.692,28,10898.38,10625.92,10000,898.38,0,0,2012-10-01,5624.62,898.38
722340,0,1999-06-01,0,10985,0.631,22,11969.79,11909.94,10000,1969.79,0,0,2013-08-01,6200.68,1969.79
727724,0,2001-10-01,0,10556,0.765,21,14225.45,14225.45,10000,4225.45,0,0,2015-07-01,2531.4,4225.45
728143,0,1992-07-01,0,21070,0.153,33,12753.45,12721.57,10000,2753.45,0,0,2015-06-01,2487.68,2753.45
729288,0,2004-10-01,0,6049,0.945,10,11972.54,11972.54,10000,1972.54,0,0,2012-08-01,8491.12,1972.54
748001,0,1983-10-01,0,11708,0.887,10,13802.74,13457.67,10000,3802.74,0,0,2016-05-01,229.79,3802.74
756483,0,2001-05-01,0,41066,0.702,22,11050.12,11050.12,10000,1050.12,0,0,2013-05-01,3923.52,1050.12
766784,0,1997-11-01,0,17232,0.446,15,11196.57,11168.58,10000,1196.57,0,0,2014-06-01,336.26,1196.57
766964,0,2004-11-01,0,2460,0.075,15,10977.86,10977.86,10000,977.86,0,0,2013-06-01,3882.93,977.86
771899,0,2001-10-01,0,2793,0.076,34,11114.09,11114.09,10000,1114.09,0,0,2014-06-01,315.65,1114.09
774077,0,1999-10-01,0,11197,0.691,14,11784.23,11784.23,10000,1784.23,0,0,2014-06-01,356.64,1784.23
778387,0,2004-09-01,0,1923,0.235,19,10687.62,10687.62,10000,687.62,0,0,2012-07-01,6965.68,687.62
778976,0,1995-07-01,0,37064,0.895,25,11493.92,11493.92,10000,1493.92,0,0,2012-07-01,7291.8,1493.92
782989,0,1998-06-01,0,18437,0.638,11,11784.23,11784.23,10000,1784.23,0,0,2014-07-01,359.57,1784.23
785543,0,2001-08-01,0,21984,0.823,25,11840.34,11544.33,10000,1840.34,0,0,2013-11-01,2876.09,1840.34
786045,0,2003-08-01,0,7194,0.679,20,11674.72,11674.72,10000,1674.72,0,0,2014-02-01,1928.79,1674.72
789658,0,1998-05-01,0,13067,0.321,22,10752.07,10483.27,10000,752.07,0,0,2012-11-01,6125.32,752.07
796760,0,1983-08-01,0,3199,0.914,44,11784.23,11784.23,10000,1784.23,0,0,2014-07-01,345.82,1784.23
796943,0,1987-09-01,0,13349,0.388,35,10857.53,10857.53,10000,857.53,0,0,2014-07-01,308.87,857.53
802900,0,1988-03-01,0,10566,0.265,19,11196.57,10916.66,10000,1196.57,0,0,2014-07-01,343.44,1196.57
806946,0,1999-07-01,0,6018,0.165,19,11035.96,10428.98,10000,1035.96,0,0,2013-10-01,3016.77,1035.96
814265,0,2004-02-01,0,14126,0.831,12,11869.6,11839.93,10000,1869.6,0,0,2014-08-01,352.83,1869.6
819657,0,1987-12-01,0,56557,0.761,22,11362.64,10794.51,10000,1362.64,0,0,2014-08-01,364.67,1362.64
831662,0,1999-12-01,0,0,0,25,11614.47,11614.47,10000,1614.47,0,0,2014-08-01,330.47,1614.47
836592,0,1991-09-01,0,65782,0.958,25,12589.07,11959.62,10000,2589.07,0,0,2014-08-01,375.19,2589.07
836804,0,1980-02-01,0,9021,0.016,13,11114.09,10836.24,10000,1114.09,0,0,2014-08-01,324.45,1114.09
838974,0,2004-11-01,0,8696,0.372,16,11157.1,11157.1,10000,1157.1,0,0,2014-02-01,2154.5,1157.1
843485,0,2005-06-01,0,4429,0.349,10,10878.51,10878.51,10000,878.51,0,0,2013-02-01,5601.2,878.51
843845,0,1996-09-01,0,29095,0.795,20,11362.64,11078.57,10000,1362.64,0,0,2014-08-01,343.13,1362.64
847906,0,2000-09-01,0,6341,0.906,50,11632.58,11341.77,10000,1632.58,0,0,2014-05-01,1153.83,1632.58
849780,0,2000-01-01,0,3396,0.617,18,11784.23,11784.23,10000,1784.23,0,0,2014-09-01,363.85,1784.23
856598,0,2004-11-01,0,8856,0.82,16,11787.18,11757.71,10000,1787.18,0,0,2014-09-01,355.91,1787.18
856603,0,2005-01-01,0,7896,0.365,19,10896.51,10896.51,10000,896.51,0,0,2014-01-01,2684.94,896.51
859497,0,1998-03-01,0,37586,0.73,29,10794.91,10794.91,10000,794.91,0,0,2013-11-01,991.96,794.91
872627,0,2003-02-01,0,2454,0.083,9,10883.46,10883.46,10000,883.46,0,0,2013-12-01,2975.96,883.46
876008,0,1993-05-01,0,11118,0.337,57,10927.74,10927.74,10000,927.74,0,0,2014-04-01,1803.38,927.74
878093,0,1997-10-01,0,25634,0.733,18,11362.65,11362.65,10000,1362.65,0,0,2014-09-01,329.53,1362.65
880577,0,1997-01-01,0,30190,0.641,42,12029.44,12029.44,10000,2029.44,0,0,2014-10-01,347.88,2029.44
884187,0,1993-12-01,0,5344,0.193,45,10678.18,10598.09,10000,678.18,0,0,2013-01-01,6386,678.18
886828,0,2003-06-01,0,10990,0.714,11,11041.19,11041.19,10000,1041.19,0,0,2012-11-01,2635.66,1041.19
888973,0,1999-08-01,0,7684,0.305,22,10956.78,10929.38,10000,956.78,0,0,2014-10-01,310.68,956.78
889172,0,2003-04-01,0,2820,0.264,15,10956.78,10956.78,10000,956.78,0,0,2014-10-01,307.68,956.78
923606,0,1994-01-01,0,9336,0.921,18,11110.93,11110.93,10000,1110.93,0,0,2013-08-01,671.88,1110.93
968778,0,1997-10-01,0,83,0.007,12,10956.78,10929.38,10000,956.78,0,0,2014-10-01,308.68,956.78
974430,0,1990-02-01,0,10922,0.65,8,11043.23,10988.02,10000,1043.23,0,0,2014-07-01,1228.85,1043.23
985332,0,1997-04-01,0,12559,0.377,26,10956.79,10956.79,10000,956.79,0,0,2014-10-01,306.94,956.79
1001320,0,1996-08-01,0,18364,0.616,30,11262.41,11262.41,10000,1262.41,0,0,2014-10-01,628.12,1262.41
1004455,0,1988-12-01,0,13093,0.477,42,11264.46,11179.97,10000,1264.46,0,0,2014-11-01,320.51,1264.46
1015556,0,1998-10-01,0,3469,0.07,32,10956.78,10956.78,10000,956.78,0,0,2014-11-01,307.55,956.78
1026192,0,1998-11-01,0,3107,0.23,25,11904.15,11904.15,10000,1904.15,0,0,2014-11-01,663.08,1904.15
1029332,0,2004-01-01,0,16719,0.882,19,11907.35,11609.66,10000,1907.35,0,0,2014-12-01,339.88,1907.35
1033633,0,2006-03-01,0,8506,0.616,11,11256.5,10975.08,10000,1256.5,0,0,2013-08-01,5139.37,1256.5
1033711,0,2000-11-01,0,15531,0.965,11,11952.8,11952.8,10000,1952.8,0,0,2014-04-01,2907.06,1952.8
1037038,0,1990-07-01,0,15657,0.938,22,11718.96,11718.96,10000,1718.96,0,0,2014-09-01,1305.26,1718.96
1041776,0,2005-10-01,0,11628,0.791,12,11431.12,11116.76,10000,1431.12,0,0,2014-12-01,331.66,1431.12
1047518,0,2005-07-01,0,9107,0.959,15,12788.85,12788.85,10000,2788.85,0,0,2014-11-01,724.08,2788.85
1048423,0,1997-06-01,0,20054,0.88,37,11794.83,11794.83,10000,1794.83,0,0,2014-04-01,2880.71,1794.83
1050454,0,2003-03-01,0,9278,0.693,9,11353.81,11325.43,10000,1353.81,0,0,2013-08-01,5173.39,1353.81
1051447,0,2007-03-01,0,5050,0.802,11,12883.33,12883.33,10000,2883.33,0,0,2014-12-01,368.93,2883.33
1053390,0,2006-10-01,0,5724,0.806,13,12029.45,12029.45,10000,2029.45,0,0,2014-12-01,346.13,2029.45
1056914,0,2000-12-01,0,11464,0.91,9,12878.26,12878.26,10000,2878.26,0,0,2014-11-01,720.62,2878.26
1057710,0,2002-12-01,0,18869,0.77,25,11907.35,11907.35,10000,1907.35,0,0,2014-12-01,347.76,1907.35
1063090,0,2005-02-01,0,10177,0.516,19,12029.45,12029.45,10000,2029.45,0,0,2015-01-01,348.59,2029.45
1069710,0,1985-07-01,0,10056,0.824,21,11907.35,11907.35,10000,1907.35,0,0,2015-01-01,349.21,1907.35
389788,0,2000-08-01,0,4532,0.324,22,14533.32,4730.51,12000,2533.32,0,0,2011-06-01,4267.05,2533.32
417906,0,1996-01-01,0,25974,0.792,25,13781.47,13781.47,12000,1781.47,0,0,2012-03-01,5559.58,1781.47
434545,0,1995-12-01,0,1,0.001,24,13647.49,13533.76,12000,1647.49,0,0,2012-02-01,2998.2,1647.49
450187,0,1992-06-01,0,20739,0.447,12,14242.31,14212.64,12000,2242.31,0,0,2012-10-01,414.65,2242.31
452910,0,2000-03-01,0,12985,0.352,16,15697.63,15625.8,12000,3697.63,0,0,2015-06-01,287.93,3697.63
453894,0,2003-10-01,0,7383,0.35,22,14291,14277.06,12000,2291,0,0,2012-09-01,59.32,2291
454791,0,1998-10-01,0,10221,0.218,16,13725.25,13496.5,12000,1725.25,0,0,2012-11-01,419.44,1725.25
475195,0,1994-01-01,0,5744,0.558,20,14302.23,14079.71,12000,2302.23,0,0,2012-11-01,1220.35,2302.23
480115,0,1996-02-01,0,46882,0.296,30,13513.77,13401.16,12000,1513.77,0,0,2013-02-01,391.05,1513.77
480665,0,1999-07-01,0,32751,0.625,28,13994.82,13965.67,12000,1994.82,0,0,2012-08-01,2675.87,1994.82
489163,0,2001-04-01,0,11779,0.627,19,14014.95,13916.83,12000,2014.95,0,0,2012-10-01,2317.98,2014.95
489497,0,1992-01-01,0,9254,0.925,28,14218.68,14040.94,12000,2218.68,0,0,2013-03-01,419.74,2218.68
496412,0,1988-11-01,0,19330,0.23,23,13224.1,11929.24,12000,1224.1,0,0,2011-08-01,19.46,1224.1
498843,0,2006-07-01,0,3108,0.275,6,14655.75,14014.56,12000,2655.75,0,0,2013-04-01,443.03,2655.75
502625,0,2000-03-01,0,28597,0.704,48,12099.51,11923.06,12000,99.51,0,0,2010-05-01,12100.26,99.51
503970,0,2004-05-01,0,13986,0.573,18,14219.03,14189.41,12000,2219.03,0,0,2013-05-01,422.41,2219.03
513948,0,1998-08-01,0,21950,0.907,12,14121.72,14004.04,12000,2121.72,0,0,2013-02-01,1596.76,2121.72
515474,0,2002-11-01,0,11176,0.824,20,14579.58,14518.83,12000,2579.58,0,0,2013-05-01,437.6,2579.58
516194,0,1998-02-01,0,2950,0.168,20,13367.71,13367.71,12000,1367.71,0,0,2013-05-01,400.04,1367.71
521334,0,1995-08-01,0,28818,0.613,15,14762.16,14722.91,12000,2762.16,0,0,2013-06-01,447.63,2762.16
526890,0,1971-07-01,0,40287,0.32,29,13445.72,13113.72,12000,1445.72,0,0,2012-11-01,2950.6,1445.72
541204,0,2000-09-01,0,20470,0.803,31,14243.75,14243.75,12000,2243.75,0,0,2013-07-01,423.16,2243.75
548511,0,1998-08-01,0,14904,0.903,17,13927.83,13492.59,12000,1927.83,0,0,2014-07-01,1172.96,1927.83
551844,0,1999-10-01,0,11439,0.491,7,13514.24,13373.46,12000,1514.24,0,0,2013-08-01,394.37,1514.24
557206,0,1999-04-01,0,37971,0.586,15,15123.02,15123.02,12000,3123.02,0,0,2013-06-01,6367.4,3123.02
562575,0,2001-06-01,0,5332,0.533,17,15385.48,15257.27,12000,3385.48,0,0,2014-06-01,4160.28,3385.48
565276,0,2000-09-01,0,2359,0.786,12,14214.07,14214.07,12000,2214.07,0,0,2013-02-01,3114.65,2214.07
568251,0,2001-01-01,0,10667,0.51,16,13514,13514,12000,1514,0,0,2013-09-01,390.96,1514
596439,0,1995-12-01,0,43604,0.785,27,16631.09,16596.44,12000,4631.09,0,0,2015-01-01,2689.98,4631.09
596646,0,1995-10-01,0,21085,0.864,36,15163.54,14726.61,12000,3163.54,0,0,2015-11-01,252.47,3163.54
598284,0,1990-04-01,0,10258,0.482,48,17489.82,17344.07,12000,5489.82,0,0,2015-11-01,291.32,5489.82
599636,0,2001-09-01,0,11438,0.625,15,14017.72,13878.21,12000,2017.72,0,0,2013-11-01,401.59,2017.72
601103,0,1990-12-01,0,7775,0.236,39,13976.54,13657.8,12000,1976.54,0,0,2015-11-01,232.48,1976.54
604975,0,2003-10-01,0,9095,0.273,19,14443.83,11241.54,12000,2443.83,0,0,2014-08-01,1627.03,2443.83
610086,0,2000-11-01,0,8244,0.387,26,15855.97,15822.94,12000,3855.97,0,0,2013-09-01,6574.03,3855.97
611571,0,1997-05-01,0,3443,0.392,14,14905.68,14595.14,12000,2905.68,0,0,2012-12-01,8274.69,2905.68
615178,0,2004-10-01,0,13125,0.385,10,14397.01,14397.01,12000,2397.01,0,0,2013-12-01,421.68,2397.01
621039,0,1984-07-01,0,40,0.118,56,13029.36,11176.81,12000,1029.36,0,0,2013-12-01,369.15,1029.36
628731,0,1999-10-01,0,23260,0.868,23,13720.02,13148.36,12000,1720.02,0,0,2012-12-01,5164.27,1720.02
634668,0,2004-02-01,0,15977,0.36,7,16374.7,16238.24,12000,4374.7,0,0,2016-01-01,272.42,4374.7
636112,0,1983-03-01,0,3198,0.101,14,13030.14,11862.9,12000,1030.14,0,0,2014-01-01,385.48,1030.14
638338,0,1998-04-01,0,14568,0.675,29,15952.46,15554.51,12000,3952.46,0,0,2014-08-01,4517.1,3952.46
640336,0,1989-08-01,0,23086,0.444,28,13539.78,13483.36,12000,1539.78,0,0,2012-08-01,9039.17,1539.78
646794,0,1998-09-01,0,23378,0.886,19,13714.48,13114.47,12000,1714.48,0,0,2014-01-01,408.17,1714.48
647918,0,1999-05-01,0,19597,0.546,42,13469.55,12908.32,12000,1469.55,0,0,2012-07-01,6858.31,1469.55
649128,0,1998-10-01,0,24458,0.634,35,13940.4,13911.36,12000,1940.4,0,0,2014-01-01,417.89,1940.4
650679,0,2000-08-01,0,17098,0.52,19,16083.74,16083.74,12000,4083.74,0,0,2015-02-01,3103.51,4083.74
657093,0,2001-02-01,0,7723,0.266,19,13351.03,13323.21,12000,1351.03,0,0,2013-08-01,2582.85,1351.03
658224,0,1998-08-01,0,113671,0.7,20,12752.46,12752.46,12000,752.46,0,0,2012-02-01,8664.36,752.46
665531,0,1995-01-01,0,15898,0.442,16,13324.53,13269.01,12000,1324.53,0,0,2014-02-01,381.23,1324.53
670267,0,2002-09-01,0,14160,0.741,13,14091.49,14062.13,12000,2091.49,0,0,2014-03-01,419.56,2091.49
673363,0,1997-03-01,0,12858,0.918,8,14165.58,14165.58,12000,2165.58,0,0,2014-03-01,459.99,2165.58
677802,0,2007-03-01,0,21012,0.828,11,15264.61,15264.61,12000,3264.61,0,0,2013-11-01,1574.27,3264.61
681742,0,2001-10-01,0,11193,0.602,12,14304.86,14304.86,12000,2304.86,0,0,2014-04-01,311.36,2304.86
688741,0,2002-10-01,0,8179,0.357,27,14014.55,14014.55,12000,2014.55,0,0,2014-03-01,399.2,2014.55
692772,0,2000-11-01,0,14431,0.546,22,12984.89,12899.88,12000,984.89,0,0,2012-08-01,7049.17,984.89
699676,0,2002-08-01,0,11087,0.528,9,13469.64,13189.02,12000,1469.64,0,0,2014-04-01,406.6,1469.64
699888,0,1999-11-01,0,634,0.02,34,13101.19,13073.89,12000,1101.19,0,0,2014-05-01,382.84,1101.19
709334,0,1997-03-01,0,37495,0.423,22,13469.64,13189.02,12000,1469.64,0,0,2014-04-01,409.79,1469.64
714467,0,2002-07-01,0,10691,0.91,22,17211.41,17211.41,12000,5211.41,0,0,2014-09-01,5261.37,5211.41
727355,0,2001-04-01,0,13159,0.511,21,13396.25,13396.25,12000,1396.25,0,0,2014-05-01,392.85,1396.25
734618,0,1998-11-01,0,15546,0.797,7,15694.03,15694.03,12000,3694.03,0,0,2016-05-01,261.39,3694.03
736337,0,1989-12-01,0,15887,0.286,20,15297.78,14817.62,12000,3297.78,0,0,2016-05-01,254.54,3297.78
737528,0,1993-06-01,0,21551,0.667,13,15370.24,15370.24,12000,3370.24,0,0,2014-04-01,1593.01,3370.24
738345,0,1992-08-01,0,74359,0.648,38,13350.09,13350.09,12000,1350.09,0,0,2013-11-01,2567.06,1350.09
741803,0,1987-08-01,0,10440,0.214,18,14768.3,14460.62,12000,2768.3,0,0,2016-05-01,245.44,2768.3
742305,0,2006-09-01,0,552,0.92,20,15507.48,15507.48,12000,3507.48,0,0,2014-05-01,462.7,3507.48
742976,0,1992-11-01,0,30780,0.85,24,13873.42,13844.52,12000,1873.42,0,0,2013-05-01,4865.59,1873.42
